  id  |   first_name   |   last_name    | vehicle_id |     make      |        model        | year | license_plate 
------+----------------+----------------+------------+---------------+---------------------+------+---------------
    1 | Michal         | Andrieu        |          2 | Honda         | Civic               | 2001 | euJs5ka9j2Em
    1 | Michal         | Andrieu        |          1 | Toyota        | Camry               | 2009 | F76Ik59s
    2 | Dallas         | Larratt        |          3 | Nissan        | Maxima              | 1996 | DiJxKPfj6m
    3 | Megen          | Birtle         |          3 | Nissan        | Maxima              | 1996 | DiJxKPfj6m
    4 | Dennison       | Novotne        |            |               |                     |      | 
    5 | Trefor         | Dorton         |        766 | Honda         | Odyssey             | 2004 | yqtevIDQe5
    6 | Clemmie        | Fentem         |        153 | Austin        | Mini Cooper S       | 1963 | wq21lEfu8X
    7 | Zaneta         | Bloor          |        584 | Hyundai       | XG300               | 2001 | AeFQzC7cac
    8 | Gladi          | Kwietak        |        819 | Plymouth      | Laser               | 1993 | ep5HyOX8
    9 | Leoine         | Geraudy        |            |               |                     |      | 
   10 | Angie          | Boman          |        503 | Ford          | Explorer Sport Trac | 2003 | XHOHDJp
   11 | Gregory        | Booton         |            |               |                     |      | 
   12 | Penn           | Fargher        |        330 | Mazda         | CX-7                | 2012 | kE1Hh5YgQYtF
   13 | Tonie          | Iacopini       |        719 | Maybach       | 62                  | 2005 | ri33m6zaXR6u
   14 | Forrest        | Stenning       |            |               |                     |      | 
   15 | Leonidas       | Carpe          |            |               |                     |      | 
   16 | Emanuel        | Exell          |            |               |                     |      | 
   17 | Keelia         | Sautter        |            |               |                     |      | 
   18 | Joe            | Overshott      |            |               |                     |      | 
   19 | Arley          | Dimmer         |            |               |                     |      | 
   20 | Mollee         | Bearn          |            |               |                     |      | 
   21 | Sheila-kathryn | Willcott       |            |               |                     |      | 
   22 | Hillyer        | Connochie      |            |               |                     |      | 
   23 | Tina           | McNerlin       |            |               |                     |      | 
   24 | Ara            | Halford        |        326 | Cadillac      | Escalade ESV        | 2012 | hQKugMpQ
   25 | Vito           | Summerell      |        498 | Mazda         | B-Series Plus       | 1993 | LkzuTSGzZY
   26 | Obed           | Kundt          |        490 | Suzuki        | SJ                  | 1995 | 0p0xpa8XATzi
   27 | Pia            | Hallewell      |            |               |                     |      | 
   28 | Olivie         | Lambdin        |            |               |                     |      | 
   29 | Nap            | Goodredge      |            |               |                     |      | 
   30 | Angelique      | Huccaby        |        837 | Mazda         | Familia             | 1986 | 4KdmCk
   31 | Nola           | Simcock        |        806 | Buick         | Electra             | 1987 | FB1HG3V
   32 | Kipp           | Darbishire     |        414 | Cadillac      | STS                 | 2006 | f4Wj2iv
   32 | Kipp           | Darbishire     |        115 | Volkswagen    | Golf                | 1989 | CBPTFjRo
   33 | Carin          | Melior         |            |               |                     |      | 
   34 | Yanaton        | Hegge          |            |               |                     |      | 
   35 | Franny         | Uden           |            |               |                     |      | 
   36 | Brucie         | Whittall       |            |               |                     |      | 
   37 | Marga          | Pepperill      |            |               |                     |      | 
   38 | Selia          | Mannin         |            |               |                     |      | 
   39 | Elysee         | Cesco          |        781 | Chrysler      | Sebring             | 2001 | YBvRBj5j6Lj6
   40 | Genna          | Bernon         |        623 | Cadillac      | CTS                 | 2005 | QPhdss3psxu
   41 | Silvana        | Cruddas        |            |               |                     |      | 
   42 | Latashia       | Gorman         |        563 | Toyota        | Land Cruiser        | 1994 | VQfDsxwyLDTe
   43 | Lyon           | McLinden       |            |               |                     |      | 
   44 | Jeralee        | Boakes         |            |               |                     |      | 
   45 | Jedidiah       | Scotson        |            |               |                     |      | 
   46 | Keary          | Sibbet         |        890 | Ford          | Mustang             | 1969 | 1hDISpLdn
   47 | Jeremy         | Dashper        |            |               |                     |      | 
   48 | Gran           | Domegan        |            |               |                     |      | 
   49 | Alla           | O'Carran       |            |               |                     |      | 
   50 | Trevor         | Cleeve         |       1002 |               |                     |      | 
   51 | Sharity        | Ducroe         |        493 | Ford          | Excursion           | 2001 | BEfiAoe8njQK
   52 | Raynell        | Stollwerk      |            |               |                     |      | 
   53 | Aubrey         | Edgerley       |            |               |                     |      | 
   54 | Giraud         | Rawle          |            |               |                     |      | 
   55 | Andria         | Balducci       |        821 | Volkswagen    | Golf                | 2003 | lZDCjX
   56 | Nanice         | Petruszka      |            |               |                     |      | 
   57 | Hakeem         | Huton          |            |               |                     |      | 
   58 | Orrin          | Rolf           |            |               |                     |      | 
   59 | Livy           | Nice           |            |               |                     |      | 
   60 | Efrem          | Wehden         |        902 | Chevrolet     | 2500                | 1997 | cuBG26L
   60 | Efrem          | Wehden         |        845 | Nissan        | Quest               | 1993 | JfsH1KPF
   60 | Efrem          | Wehden         |        560 | Chrysler      | LHS                 | 1995 | I79wsQ
   61 | Jessie         | Sheron         |        694 | GMC           | Rally Wagon G3500   | 1995 | Bg1TydW
   62 | Hillary        | Drakard        |        868 | Nissan        | Quest               | 1998 | j6Z11HO02J
   63 | Gerhardt       | Geere          |            |               |                     |      | 
   64 | Margy          | Bedell         |            |               |                     |      | 
   65 | Cristionna     | MacCulloch     |            |               |                     |      | 
   66 | Dennie         | Mustin         |        988 | Chevrolet     | Express 3500        | 1997 | nblEFaWx
   67 | Corilla        | Kitchenham     |            |               |                     |      | 
   68 | Wendall        | Shackel        |            |               |                     |      | 
   69 | Idell          | Jesse          |            |               |                     |      | 
   70 | Cristobal      | Kennham        |            |               |                     |      | 
   71 | Brooke         | Comerford      |            |               |                     |      | 
   72 | Karoly         | Dagleas        |            |               |                     |      | 
   73 | Darn           | Philippault    |            |               |                     |      | 
   74 | Deborah        | Simeon         |            |               |                     |      | 
   75 | Wendi          | Orteu          |        823 | Lamborghini   | Murciélago          | 2002 | qvW1rWRVUu
   76 | Aline          | Joesbury       |        934 | Buick         | Riviera             | 1991 | FoAI9VbZQf
   77 | Rodger         | Cheshir        |            |               |                     |      | 
   78 | Ammamaria      | Gowman         |        118 | Oldsmobile    | Silhouette          | 2004 | RgNT7o
   79 | Elise          | Sidwick        |            |               |                     |      | 
   80 | Costa          | Boagey         |            |               |                     |      | 
   81 | Ophelia        | McEntagart     |            |               |                     |      | 
   82 | Hill           | Dickings       |            |               |                     |      | 
   83 | Bengt          | McGunley       |        874 | Kia           | Sportage            | 2010 | WgcdnYA8KKS
   83 | Bengt          | McGunley       |        783 | Volvo         | C70                 | 2010 | ELHPRM8bl9
   83 | Bengt          | McGunley       |         54 | Audi          | Allroad             | 2005 | wWjhIWN8Q
   84 | Montague       | Morphet        |            |               |                     |      | 
   85 | Vinita         | Hallock        |            |               |                     |      | 
   86 | Ransell        | Brimilcombe    |            |               |                     |      | 
   87 | Rock           | Jillings       |            |               |                     |      | 
   88 | Sherwynd       | Crossan        |            |               |                     |      | 
   89 | Immanuel       | Espino         |            |               |                     |      | 
   90 | Andree         | Spurdens       |            |               |                     |      | 
   91 | Ruby           | Bruck          |            |               |                     |      | 
   92 | Vanna          | Manuel         |        863 | Lincoln       | Mark VII            | 1992 | 01K1eyg
   93 | Lionel         | Gallehock      |        685 | Mercury       | Sable               | 1998 | vnSnSvv3SDB
   94 | Alysa          | Sappell        |            |               |                     |      | 
   95 | Petr           | Bickley        |            |               |                     |      | 
   96 | Cicely         | Czajkowska     |            |               |                     |      | 
   97 | Anjanette      | Godwin         |        722 | Ford          | F-Series Super Duty | 2009 | O3KoHQ
